index,packet_size,inter_arrival_time,src_port,dst_port,packet_count_5s,mean_packet_size,spectral_entropy,frequency_band_energy,label,score,z_score,is_anomaly,reason
31,0.161059,0.298670,5866,80,0.071429,0.000000,0.282743,0.540690,0,0.701749,-0.711631,0,Normal
32,0.608447,0.406370,9611,443,0.500000,0.000000,0.781957,0.876682,0,1.485129,1.235223,0,Normal
33,0.827487,0.660083,57138,443,0.142857,0.000000,0.173069,0.339263,0,1.166750,0.443989,0,Normal
34,0.132427,0.322066,34253,53,0.142857,0.000000,0.117450,0.148470,0,0.280897,-1.757532,1,|z|=1.76 >= 1.5
35,0.006442,0.958585,63862,80,0.928571,0.000000,0.342040,0.362974,0,0.369416,-1.537544,1,|z|=1.54 >= 1.5
36,0.602720,0.379021,33932,443,0.357143,0.000000,0.398420,0.992393,1,1.595113,1.508556,1,|z|=1.51 >= 1.5
37,0.410165,0.503082,11780,80,0.928571,0.000000,0.821425,0.925341,0,1.335505,0.863378,0,Normal
38,0.865426,0.754303,1168,53,0.000000,0.000000,0.524607,0.920811,1,1.786236,1.983535,1,|z|=1.98 >= 1.5
39,0.731568,0.205834,33486,80,0.785714,0.000000,0.488194,0.580901,0,1.312469,0.806128,0,Normal
40,0.829635,0.797380,47921,53,0.142857,0.000000,0.057434,0.421210,0,1.250845,0.652982,0,Normal
41,0.256979,0.776957,56362,80,1.000000,0.000000,0.534514,0.735092,0,0.992071,0.009876,0,Normal
42,0.670007,0.242828,31596,53,0.071429,0.000000,0.185225,0.388991,1,1.058998,0.176204,0,Normal
43,0.793128,0.171004,8927,80,0.142857,0.000000,0.513903,0.451362,0,1.244490,0.637187,0,Normal
44,0.367215,0.967968,14728,443,0.428571,0.000000,0.080094,0.265891,0,0.633106,-0.882222,0,Normal
45,0.062992,0.107834,15714,53,0.571429,0.000000,0.527265,0.979702,0,1.042694,0.135685,0,Normal
46,0.871152,0.644914,35882,53,0.071429,0.000000,0.002576,0.629159,0,1.500311,1.272954,0,Normal
47,0.778096,0.357767,46468,53,0.642857,0.000000,0.801670,0.986793,0,1.764889,1.930481,1,|z|=1.93 >= 1.5
48,0.918397,0.565555,33059,80,0.214286,0.000000,0.687204,0.919930,0,1.838327,2.112990,1,|z|=2.11 >= 1.5
49,0.443092,0.810944,3592,443,0.571429,0.000000,0.684120,0.451739,0,0.894831,-0.231783,0,Normal
50,0.854689,0.062734,6194,80,0.428571,0.000000,0.362325,0.830726,0,1.685415,1.732973,1,|z|=1.73 >= 1.5
51,0.896922,0.642092,43130,80,0.000000,0.000000,0.159597,0.347039,0,1.243961,0.635873,0,Normal
52,0.019327,0.094010,36624,80,0.500000,0.000000,0.085525,0.544324,0,0.563651,-1.054831,0,Normal
53,0.908375,0.656704,28704,53,0.642857,0.000000,0.521966,0.879741,0,1.788116,1.988205,1,|z|=1.99 >= 1.5
54,0.452398,0.943173,28389,53,0.285714,0.000000,0.004534,0.587420,0,1.039818,0.128536,0,Normal
55,0.442377,0.088885,14895,80,0.000000,0.000000,0.717597,0.284938,0,0.727314,-0.648097,0,Normal
56,0.324266,0.857607,45029,443,0.642857,0.000000,0.897881,0.191776,0,0.516042,-1.173149,0,Normal
57,0.078740,0.001771,59363,53,0.142857,0.000000,0.462778,0.846932,0,0.925672,-0.155139,0,Normal
58,0.675018,0.249328,48428,53,0.071429,0.000000,0.916301,0.612592,0,1.287610,0.744349,0,Normal
59,0.988547,0.050657,39380,53,0.785714,0.000000,0.276604,0.333485,0,1.322032,0.829894,0,Normal
60,0.668576,0.774666,15245,80,0.928571,0.000000,0.099020,0.523141,0,1.191717,0.506036,0,Normal
61,0.117394,0.814754,8309,443,0.357143,0.000000,0.604466,0.059942,0,0.177337,-2.014900,1,|z|=2.01 >= 1.5
62,0.069435,0.098062,56660,443,0.000000,0.000000,0.375299,0.393413,0,0.462848,-1.305348,0,Normal
63,0.352899,0.885478,41359,53,0.857143,0.000000,0.459217,0.054238,0,0.407137,-1.443799,0,Normal
64,0.375805,0.330254,7852,53,0.642857,0.000000,0.388185,0.995832,0,1.371637,0.953174,0,Normal
65,0.507516,0.320798,61154,443,0.071429,0.000000,0.167080,0.313623,0,0.821139,-0.414924,0,Normal
66,0.204724,0.695570,61320,80,1.000000,0.000000,0.917750,0.908999,0,1.113724,0.312208,0,Normal
67,0.654975,0.467812,59817,443,0.571429,0.000000,0.481189,0.424484,0,1.079459,0.227053,0,Normal
68,0.103794,0.555041,31844,443,0.357143,0.000000,0.483556,0.924701,0,1.028495,0.100398,0,Normal
69,0.494631,0.061750,9357,443,1.000000,0.000000,0.682724,0.338845,1,0.833476,-0.384264,0,Normal
70,0.027917,0.311102,38255,53,0.571429,0.000000,0.821058,0.922024,0,0.949941,-0.094826,0,Normal
71,0.969936,0.970870,8281,80,0.928571,0.000000,0.453260,0.211539,0,1.181475,0.480582,0,Normal
72,0.967072,0.189691,6908,53,0.857143,0.000000,0.557851,0.610439,0,1.577511,1.464810,0,Normal
73,0.848962,0.609317,12031,80,0.642857,0.000000,0.027034,0.780218,0,1.629181,1.593220,1,|z|=1.59 >= 1.5
74,0.911954,0.540764,7449,53,0.357143,0.000000,0.924877,0.386174,0,1.298128,0.770488,0,Normal
75,0.961346,0.395643,55202,443,0.928571,0.000000,0.103619,0.454440,0,1.415786,1.062892,0,Normal
76,0.679313,0.914007,30769,80,0.857143,0.000000,0.046049,0.690331,0,1.369644,0.948219,0,Normal
77,0.952040,0.907139,53865,80,0.357143,0.000000,0.764061,0.241479,0,1.193519,0.510516,0,Normal
78,0.040802,0.295471,31914,53,0.000000,0.000000,0.620676,0.745961,0,0.786763,-0.500355,0,Normal
79,0.476736,0.486084,64858,53,0.928571,0.000000,0.327169,0.091883,0,0.568619,-1.042486,0,Normal
80,0.960630,0.374778,21286,53,0.785714,0.000000,0.463390,0.680668,0,1.641298,1.623333,1,|z|=1.62 >= 1.5
81,0.319256,0.178529,47322,80,0.071429,0.000000,0.927972,0.484131,0,0.803387,-0.459041,0,Normal
82,0.423049,0.397055,9122,443,0.428571,0.000000,0.319246,0.292095,0,0.715144,-0.678341,0,Normal
83,0.770222,0.746449,51079,53,0.571429,0.000000,0.822632,0.910612,0,1.680834,1.721589,1,|z|=1.72 >= 1.5
84,0.304223,0.050360,24394,80,0.928571,0.000000,0.313691,0.045915,0,0.350139,-1.585452,1,|z|=1.59 >= 1.5
85,0.495347,0.040904,21869,443,0.500000,0.000000,0.530699,0.971001,0,1.466349,1.188550,0,Normal
86,0.376521,0.970091,55480,80,0.785714,0.000000,0.817288,0.212719,0,0.589240,-0.991238,0,Normal
87,0.491052,0.115017,35758,53,0.285714,0.000000,0.964402,0.014709,1,0.505761,-1.198699,0,Normal
88,0.483178,0.890088,5605,80,0.000000,0.000000,0.266917,0.806682,0,1.289861,0.749943,0,Normal
89,0.572656,0.281713,10852,53,0.428571,0.000000,0.026539,0.379182,0,0.951838,-0.090112,0,Normal
90,0.740873,0.857571,61522,53,0.714286,0.000000,0.685536,0.046415,0,0.787288,-0.499050,0,Normal
91,0.600573,0.866049,47588,443,0.785714,0.000000,0.701968,0.078630,0,0.679203,-0.767664,0,Normal
92,0.110952,0.897849,22177,80,0.571429,0.000000,0.263732,0.761801,0,0.872753,-0.286652,0,Normal
93,0.725841,0.582971,18337,443,0.714286,0.000000,0.282401,0.765451,0,1.491292,1.250540,0,Normal
94,0.896206,0.612292,11042,53,0.142857,0.000000,0.859768,0.839861,0,1.736067,1.858854,1,|z|=1.86 >= 1.5
95,0.926986,0.759561,30034,80,0.214286,0.000000,0.958951,0.226706,0,1.153693,0.411538,0,Normal
96,0.315676,0.769036,8182,80,0.142857,0.000000,0.561545,0.117391,0,0.433067,-1.379359,0,Normal
97,0.634216,0.765163,3622,443,0.571429,0.000000,0.834105,0.691991,0,1.326207,0.840272,0,Normal
98,0.619900,0.219294,46168,443,0.714286,0.000000,0.168190,0.121814,0,0.741714,-0.612310,0,Normal
99,0.214746,0.248904,20987,443,0.571429,0.000000,0.346169,0.558476,0,0.773221,-0.534008,0,Normal
100,0.359341,0.670220,38133,80,0.714286,0.000000,0.830356,0.541551,0,0.900892,-0.216720,0,Normal
101,0.700787,0.040304,38383,443,0.000000,0.000000,0.600726,0.402136,0,1.102923,0.285366,0,Normal
102,0.740157,0.232430,41953,53,0.500000,0.000000,0.836899,0.108716,0,0.848874,-0.345997,0,Normal
103,0.847530,0.650287,42846,80,0.428571,0.000000,0.356047,0.476300,0,1.323830,0.834363,0,Normal
104,0.935576,0.175842,62509,53,0.857143,0.000000,0.200128,0.151286,0,1.086863,0.245452,0,Normal
105,0.989979,0.654242,33471,53,0.071429,0.000000,0.889632,0.395560,0,1.385538,0.987721,0,Normal
106,0.088046,0.393809,20350,443,0.071429,0.000000,0.888945,0.784350,0,0.872396,-0.287540,0,Normal
107,0.331424,0.689545,2318,80,0.928571,0.000000,0.555330,0.408904,0,0.740329,-0.615753,0,Normal
108,0.724409,0.887570,1170,53,0.071429,0.000000,0.709831,0.727558,0,1.451967,1.152809,0,Normal
109,0.538296,0.882093,53764,80,0.857143,0.000000,0.007880,0.774176,0,1.312472,0.806136,0,Normal
110,0.808160,0.015865,4302,80,0.642857,0.000000,0.011028,0.140109,0,0.948270,-0.098978,0,Normal
111,0.117394,0.181436,29633,443,0.785714,0.000000,0.190138,0.873283,0,0.990678,0.006414,0,Normal
112,0.045097,0.650133,61812,80,0.642857,0.000000,0.805872,0.955997,0,1.001093,0.032298,0,Normal
113,0.493200,0.826245,43303,80,0.928571,0.000000,0.045811,0.587917,0,1.081116,0.231171,0,Normal
114,0.282749,0.714034,55220,80,0.071429,0.000000,0.570625,0.389860,0,0.672609,-0.784050,0,Normal
115,0.561918,0.125874,1250,53,0.071429,0.000000,0.061287,0.727980,0,1.289899,0.750037,0,Normal
116,0.494631,0.520566,25081,80,0.857143,0.000000,0.086271,0.918555,0,1.413187,1.056432,0,Normal
117,0.365784,0.936696,9504,443,0.071429,0.000000,0.749006,0.682318,0,1.048102,0.149124,0,Normal
118,0.541160,0.725355,33590,53,0.928571,0.000000,0.890091,0.481636,0,1.022796,0.086233,0,Normal
119,0.440229,0.584603,43103,443,0.714286,0.000000,0.863818,0.864127,0,1.304356,0.785968,0,Normal
120,0.428060,0.916072,62014,443,0.000000,0.000000,0.109091,0.491254,0,0.919314,-0.170939,0,Normal
121,0.564782,0.590849,5143,80,0.214286,0.000000,0.249327,0.834246,1,1.399028,1.021245,0,Normal
122,0.719399,0.933846,61850,80,0.928571,0.000000,0.182721,0.727290,0,1.446688,1.139690,0,Normal
123,0.688618,0.421570,21925,53,0.071429,0.000000,0.764986,0.724590,1,1.413208,1.056486,0,Normal
124,0.535433,0.567614,54187,80,0.642857,0.000000,0.960504,0.268817,0,0.804250,-0.456897,0,Normal
125,0.545455,0.323503,30487,53,0.571429,0.000000,0.992607,0.590219,0,1.135673,0.366757,0,Normal
126,0.390838,0.903478,3636,53,0.071429,0.000000,0.249761,0.978584,0,1.369422,0.947668,0,Normal
127,0.717967,0.531202,2683,443,1.000000,0.000000,0.159007,0.265219,0,0.983186,-0.012205,0,Normal
128,0.259843,0.309433,36545,53,0.285714,0.000000,0.684788,0.971748,0,1.231591,0.605131,0,Normal
129,0.829635,0.172341,1067,443,0.500000,0.000000,0.830913,0.362025,0,1.191660,0.505894,0,Normal
130,0.488189,0.551635,3609,53,0.000000,0.000000,0.847939,0.332863,0,0.821052,-0.415140,0,Normal
131,0.027201,0.287830,31655,443,0.785714,0.000000,0.079365,0.378620,0,0.405821,-1.447071,0,Normal
132,0.422334,0.471762,48378,443,0.142857,0.000000,0.255634,0.443230,0,0.865563,-0.304520,0,Normal
133,0.410880,0.060053,34076,443,0.071429,0.000000,0.695117,0.043474,0,0.454354,-1.326456,0,Normal
134,0.103078,0.569309,46312,80,0.071429,0.000000,0.374767,0.820484,0,0.923562,-0.160382,0,Normal
135,0.052255,0.538449,29306,53,0.500000,0.000000,0.873293,0.959665,0,1.011920,0.059206,0,Normal
136,0.690766,0.313681,37517,53,0.714286,0.000000,0.281384,0.928071,0,1.618837,1.567514,1,|z|=1.57 >= 1.5
137,0.388690,0.509244,53735,443,1.000000,0.000000,0.137579,0.011378,0,0.400069,-1.461367,0,Normal
138,0.053686,0.473478,40077,443,0.071429,0.000000,0.605738,0.228734,1,0.282421,-1.753745,1,|z|=1.75 >= 1.5
139,0.549749,0.341707,43320,443,0.928571,0.000000,0.808282,0.947308,0,1.497057,1.264867,0,Normal
140,0.085898,0.256637,48270,443,0.500000,0.000000,0.013996,0.934761,0,1.020659,0.080923,0,Normal
141,0.362205,0.887803,33283,443,0.428571,0.000000,0.393108,0.658734,0,1.020939,0.081619,0,Normal
142,0.850394,0.774211,3173,80,0.714286,0.000000,0.820296,0.349506,0,1.199899,0.526371,0,Normal
143,0.360057,0.396685,44574,53,0.428571,0.000000,0.005869,0.177552,0,0.537609,-1.119552,0,Normal
144,0.538296,0.697706,53058,80,0.142857,0.000000,0.223374,0.189135,0,0.727431,-0.647807,0,Normal
145,0.881890,0.823060,43324,53,0.500000,0.000000,0.911946,0.091469,0,0.973359,-0.036626,0,Normal
146,0.233357,0.437444,3400,443,0.714286,0.000000,0.158488,0.734957,0,0.968314,-0.049164,0,Normal
147,0.964209,0.911545,39945,53,0.571429,0.000000,0.953815,0.147066,0,1.111275,0.306122,0,Normal
148,0.322835,0.021744,33716,80,0.285714,0.000000,0.787047,0.889821,0,1.212655,0.558072,0,Normal
149,0.319256,0.620714,61624,53,0.000000,0.000000,0.009781,0.991168,1,1.310423,0.801044,0,Normal
150,0.518253,0.678393,65067,443,0.000000,0.000000,0.143549,0.172708,0,0.690961,-0.738441,0,Normal
151,0.032212,0.615203,43103,80,0.571429,0.000000,0.561504,0.082903,0,0.115115,-2.169533,1,|z|=2.17 >= 1.5
152,0.167502,0.208047,50743,80,0.785714,0.000000,0.631577,0.797255,0,0.964757,-0.058004,0,Normal
153,0.505369,0.954697,10197,80,0.214286,0.000000,0.578484,0.334716,0,0.840085,-0.367840,0,Normal
154,0.136722,0.677410,29779,443,0.428571,0.000000,0.570149,0.176718,0,0.313439,-1.676658,1,|z|=1.68 >= 1.5
155,0.205440,0.177516,49389,53,0.000000,0.000000,0.317983,0.763373,0,0.968813,-0.047924,0,Normal
156,0.040802,0.194435,55139,53,0.357143,0.000000,0.250539,0.490930,0,0.531732,-1.134158,0,Normal
157,0.672155,0.946586,34515,80,0.928571,0.000000,0.151780,0.282933,0,0.955087,-0.082036,0,Normal
158,0.231926,0.257673,33857,443,0.214286,0.000000,0.521597,0.867730,0,1.099655,0.277245,0,Normal
159,0.069435,0.871561,59873,80,0.214286,0.000000,0.762269,0.303866,0,0.373300,-1.527892,1,|z|=1.53 >= 1.5
160,0.307802,0.609671,61650,53,0.642857,0.000000,0.907183,0.669141,0,0.976944,-0.027718,0,Normal
161,0.310666,0.658520,48198,443,0.214286,0.000000,0.148657,0.226670,0,0.537336,-1.120230,0,Normal
162,0.426628,0.342671,25579,443,0.928571,0.000000,0.650841,0.910217,0,1.336846,0.866710,0,Normal
163,0.232641,0.877489,40038,53,1.000000,0.000000,0.846163,0.807231,0,1.039873,0.128673,0,Normal
164,0.974946,0.761247,28863,53,0.571429,0.000000,0.518690,0.106340,0,1.081286,0.231594,0,Normal
165,0.054402,0.175457,36194,53,0.928571,0.000000,0.803487,0.337055,0,0.391457,-1.482767,0,Normal
166,0.753758,0.430756,55007,53,0.214286,0.000000,0.518838,0.363600,0,1.117358,0.321240,0,Normal
167,0.954903,0.736760,52421,443,0.785714,0.000000,0.013181,0.666323,0,1.621226,1.573452,1,|z|=1.57 >= 1.5
168,0.521117,0.671900,57942,443,0.428571,0.000000,0.817427,0.979971,0,1.501088,1.274885,0,Normal
169,0.231926,0.734841,1785,53,0.500000,0.000000,0.775188,0.435533,0,0.667458,-0.796850,0,Normal
170,0.609162,0.044746,3374,53,0.071429,0.000000,0.741249,0.347327,0,0.956490,-0.078550,0,Normal
171,0.982820,0.592520,1912,443,0.500000,0.000000,0.906492,0.628174,1,1.610995,1.548024,1,|z|=1.55 >= 1.5
172,0.309950,0.815596,26100,443,0.714286,0.000000,0.036285,0.473273,0,0.783223,-0.509152,0,Normal
173,0.914102,0.833002,60335,80,0.357143,0.000000,0.718633,0.220260,0,1.134362,0.363497,0,Normal
174,0.455977,0.601490,34131,443,0.285714,0.000000,0.267936,0.328842,0,0.784819,-0.505186,0,Normal
175,0.463851,0.205185,55809,443,0.785714,0.000000,0.837903,0.550229,0,1.014080,0.064573,0,Normal
176,0.356478,0.525416,57433,53,0.714286,0.000000,0.316421,0.553066,0,0.909544,-0.195220,0,Normal
177,0.631353,0.809688,15871,443,0.142857,0.000000,0.580799,0.317811,0,0.949164,-0.096757,0,Normal
178,0.724409,0.554572,36652,443,0.428571,0.000000,0.245785,0.175623,0,0.900032,-0.218858,0,Normal
179,0.886185,0.694852,40754,80,0.285714,0.000000,0.009071,0.799276,0,1.685461,1.733088,1,|z|=1.73 >= 1.5
180,0.390122,0.031260,1038,80,0.642857,0.000000,0.988702,0.619124,0,1.009246,0.052560,0,Normal
181,0.843951,0.276300,6851,80,0.571429,0.000000,0.956125,0.591601,0,1.435552,1.112015,0,Normal
182,0.429492,0.577624,42778,443,0.071429,0.000000,0.848557,0.542306,0,0.971798,-0.040506,0,Normal
183,0.556192,0.335121,47260,80,0.571429,0.000000,0.540737,0.202189,1,0.758381,-0.570890,0,Normal
184,0.216178,0.573940,10484,443,0.857143,0.000000,0.829372,0.762873,0,0.979051,-0.022482,0,Normal
185,0.075877,0.178276,32096,53,0.285714,0.000000,0.801720,0.645689,1,0.721566,-0.662383,0,Normal
186,0.706514,0.468952,57972,443,0.642857,0.000000,0.489506,0.207915,0,0.914429,-0.183081,0,Normal
187,0.143164,0.225252,20375,80,0.857143,0.000000,0.785745,0.519421,0,0.662585,-0.808961,0,Normal
188,0.816750,0.391313,36365,443,0.857143,0.000000,0.120799,0.218094,0,1.034844,0.116176,0,Normal
189,0.301360,0.135893,44572,443,0.642857,0.000000,0.263708,0.614501,0,0.915861,-0.179522,0,Normal
190,0.561203,0.130165,36476,443,0.142857,0.000000,0.435651,0.022510,0,0.583712,-1.004976,0,Normal
191,0.849678,0.562240,17905,443,0.714286,0.000000,0.716373,0.151838,0,1.001515,0.033348,0,Normal
192,0.288475,0.664568,22712,80,0.428571,0.000000,0.989621,0.545456,0,0.833931,-0.383133,0,Normal
193,0.289191,0.960886,19771,443,0.285714,0.000000,0.195974,0.032008,0,0.321199,-1.657372,1,|z|=1.66 >= 1.5
194,0.289191,0.635731,62780,443,0.214286,0.000000,0.966135,0.868222,0,1.157413,0.420783,0,Normal
195,0.901217,0.137712,17491,80,0.357143,0.000000,0.815216,0.439298,0,1.340515,0.875829,0,Normal
196,0.176092,0.108644,15126,443,0.285714,0.000000,0.653791,0.987821,0,1.163913,0.436938,0,Normal
197,0.451682,0.610901,39892,53,0.071429,0.000000,0.488363,0.897975,0,1.349657,0.898548,0,Normal
198,0.381532,0.129280,1492,53,0.428571,0.000000,0.853827,0.478069,0,0.859601,-0.319338,0,Normal
199,0.491052,0.027268,37413,53,0.928571,0.000000,0.041520,0.447249,0,0.938301,-0.123753,0,Normal
200,0.981389,0.691721,5825,443,0.928571,0.000000,0.935073,0.502578,0,1.483967,1.232334,0,Normal
201,0.333572,0.361644,65413,53,0.714286,0.000000,0.497354,0.822526,0,1.156098,0.417517,0,Normal
202,0.856120,0.942839,4588,53,0.571429,0.000000,0.333714,0.786697,0,1.642817,1.627110,1,|z|=1.63 >= 1.5
203,0.027917,0.783134,8430,53,0.571429,0.000000,0.181162,0.432735,0,0.460652,-1.310804,0,Normal
204,0.365784,0.321583,21645,80,0.357143,0.000000,0.379825,0.180068,0,0.545852,-1.099067,0,Normal
205,0.117394,0.156771,24950,443,0.071429,0.000000,0.213169,0.473978,0,0.591373,-0.985938,0,Normal
206,0.864710,0.449127,27831,53,1.000000,0.000000,0.939688,0.125955,0,0.990665,0.006382,0,Normal
207,0.039370,0.281666,38135,80,0.928571,0.000000,0.103237,0.331481,0,0.370851,-1.533979,1,|z|=1.53 >= 1.5
208,0.665712,0.931226,3547,443,0.357143,0.000000,0.628780,0.381340,0,1.047052,0.146516,0,Normal
209,0.596994,0.631181,13262,80,0.071429,0.000000,0.179849,0.000081,0,0.597074,-0.971769,0,Normal
210,0.808876,0.969643,61625,443,0.928571,0.000000,0.047829,0.787012,0,1.595888,1.510481,1,|z|=1.51 >= 1.5
211,0.410880,0.255811,34448,53,0.642857,0.000000,0.755260,0.377316,0,0.788196,-0.496793,0,Normal
212,0.017180,0.472580,27983,80,0.785714,0.000000,0.815840,0.929617,0,0.946796,-0.102640,0,Normal
213,0.463851,0.700865,14140,80,0.500000,0.000000,0.761318,0.829726,0,1.293577,0.759179,0,Normal
214,0.522548,0.114201,50921,443,0.214286,0.000000,0.144149,0.529675,1,1.052223,0.159366,0,Normal
215,0.990694,0.087529,11623,80,0.642857,0.000000,0.791719,0.113927,0,1.104621,0.289586,0,Normal
216,0.740873,0.421829,32005,443,0.142857,0.000000,0.511165,0.479975,0,1.220849,0.578434,0,Normal
217,0.381532,0.783173,56193,443,0.285714,0.000000,0.236343,0.629467,0,1.010999,0.056917,0,Normal
218,0.129563,0.105339,63508,443,0.428571,0.000000,0.677112,0.823346,0,0.952909,-0.087449,0,Normal
219,0.332140,0.414690,15508,53,0.000000,0.000000,0.214849,0.715684,1,1.047824,0.148434,0,Normal
220,0.921260,0.260501,3965,53,0.071429,0.000000,0.286799,0.878278,1,1.799538,2.016591,1,|z|=2.02 >= 1.5
221,0.370795,0.576399,51868,53,1.000000,0.000000,0.632224,0.299128,1,0.669923,-0.790725,0,Normal
222,0.732283,0.074945,26209,53,0.500000,0.000000,0.339059,0.163109,1,0.895392,-0.230390,0,Normal
223,0.015032,0.966282,14279,443,0.214286,0.000000,0.299540,0.854567,0,0.869599,-0.294490,0,Normal
224,0.858268,0.531305,22922,80,0.928571,0.000000,0.410172,0.230168,0,1.088436,0.249362,0,Normal
225,0.900501,0.393550,64616,80,0.714286,0.000000,0.721576,0.242045,0,1.142546,0.383836,0,Normal
226,0.749463,0.060260,16763,443,0.500000,0.000000,0.616302,0.070261,0,0.819724,-0.418441,0,Normal
227,0.646385,0.675014,52018,443,0.000000,0.000000,0.692289,0.085986,0,0.732372,-0.635528,0,Normal
228,0.020043,0.146808,22544,53,0.357143,0.000000,0.054675,0.203426,0,0.223469,-1.900252,1,|z|=1.90 >= 1.5
229,0.725125,0.711537,20658,443,0.214286,0.000000,0.053129,0.424497,0,1.149622,0.401423,0,Normal
230,0.324266,0.485662,62626,443,0.500000,0.000000,0.816207,0.150311,0,0.474577,-1.276198,0,Normal
231,0.266285,0.970776,4537,80,0.000000,0.000000,0.738835,0.976224,0,1.242509,0.632264,0,Normal
232,0.634932,0.881176,6438,443,0.500000,0.000000,0.053258,0.426128,0,1.061060,0.181328,0,Normal
233,0.041518,0.753663,41420,443,0.071429,0.000000,0.277810,0.807628,0,0.849146,-0.345322,0,Normal
234,0.295634,0.059810,42258,443,0.785714,0.000000,0.296487,0.958044,1,1.253677,0.660019,0,Normal
235,0.863994,0.670897,45331,443,0.642857,0.000000,0.423844,0.072862,0,0.936856,-0.127344,0,Normal
236,0.100215,0.311292,12812,53,1.000000,0.000000,0.354299,0.149301,0,0.249516,-1.835520,1,|z|=1.84 >= 1.5
237,0.102362,0.875267,50698,53,0.500000,0.000000,0.156723,0.596640,0,0.699002,-0.718459,0,Normal
238,0.057981,0.942633,40952,53,0.214286,0.000000,0.237102,0.683261,0,0.741243,-0.613482,0,Normal
239,0.669291,0.506984,52039,80,0.500000,0.000000,0.494038,0.574139,0,1.243431,0.634555,0,Normal
240,0.649248,0.738728,33310,80,0.857143,0.000000,0.801325,0.315814,0,0.965062,-0.057246,0,Normal
241,0.934145,0.477821,51496,53,0.000000,0.000000,0.599366,0.953657,0,1.887801,2.235943,1,|z|=2.24 >= 1.5
